provider,run_date,target_date,forecast_tmax_c,actual_tmax_c,abs_error_c
open-meteo,2026-08-06,2026-08-09,32.3,33.0,0.7000000000000028
openweathermap,2026-08-06,2026-08-09,30.46,33.0,2.539999999999999
weatherapi,2026-08-06,2026-08-09,31.1,33.0,1.8999999999999986
open-meteo,2026-08-07,2026-08-10,32.4,33.0,0.6000000000000014
openweathermap,2026-08-07,2026-08-10,30.21,33.0,2.789999999999999
open-meteo,2026-08-08,2026-08-11,32.6,33.0,0.3999999999999986
openweathermap,2026-08-08,2026-08-11,30.02,33.0,2.9800000000000004
open-meteo,2026-08-09,2026-08-12,32.8,33.0,0.20000000000000284
openweathermap,2026-08-09,2026-08-12,29.95,33.0,3.0500000000000007
open-meteo,2026-08-10,2026-08-13,32.7,32.0,0.7000000000000028
openweathermap,2026-08-10,2026-08-13,30.46,32.0,1.5399999999999991
open-meteo,2026-08-11,2026-08-14,31.9,33.0,1.1000000000000014
openweathermap,2026-08-11,2026-08-14,31.2,33.0,1.8000000000000007
open-meteo,2026-08-12,2026-08-15,32.2,34.0,1.7999999999999972
openweathermap,2026-08-12,2026-08-15,30.34,34.0,3.66
open-meteo,2026-08-13,2026-08-16,31.4,32.0,0.6000000000000014
openweathermap,2026-08-13,2026-08-16,30.1,32.0,1.8999999999999986
open-meteo,2026-08-14,2026-08-17,32.2,33.0,0.7999999999999972
openweathermap,2026-08-14,2026-08-17,30.62,33.0,2.379999999999999
open-meteo,2026-08-15,2026-08-18,32.6,33.0,0.3999999999999986
openweathermap,2026-08-15,2026-08-18,31.21,33.0,1.7899999999999991
open-meteo,2026-08-16,2026-08-19,35.9,36.0,0.10000000000000142
openweathermap,2026-08-16,2026-08-19,34.99,36.0,1.009999999999998
open-meteo,2026-08-17,2026-08-20,32.3,34.1,1.8000000000000043
openweathermap,2026-08-17,2026-08-20,32.55,34.1,1.5500000000000043
open-meteo,2026-08-18,2026-08-21,34.1,33.8,0.30000000000000426
openweathermap,2026-08-18,2026-08-21,29.51,33.8,4.289999999999996
open-meteo,2026-08-19,2026-08-22,30.9,29.8,1.0999999999999979
openweathermap,2026-08-19,2026-08-22,28.87,29.8,0.9299999999999997
open-meteo,2026-08-20,2026-08-23,30.9,30.5,0.3999999999999986
openweathermap,2026-08-20,2026-08-23,28.97,30.5,1.5300000000000011
open-meteo,2026-08-21,2026-08-24,29.6,30.6,1.0
openweathermap,2026-08-21,2026-08-24,30.81,30.6,0.2099999999999973
open-meteo,2026-08-22,2026-08-25,32.7,30.3,2.400000000000002
openweathermap,2026-08-22,2026-08-25,30.2,30.3,0.10000000000000142
open-meteo,2026-08-23,2026-08-26,31.5,29.2,2.3000000000000007
openweathermap,2026-08-23,2026-08-26,30.42,29.2,1.2200000000000024
open-meteo,2026-08-24,2026-08-27,32.4,30.9,1.5
openweathermap,2026-08-24,2026-08-27,32.25,30.9,1.3500000000000014
open-meteo,2026-08-25,2026-08-28,29.8,29.5,0.3000000000000007
openweathermap,2026-08-25,2026-08-28,27.63,29.5,1.870000000000001
